0 800 251 1599 45263 37655 7608 400 148 10.0 50 6247 113.839.137,200 9.682.500,000
0 800 271 1599 44918 37655 7263 400 129 10.0 50 5872 113.431.819,200 9.297.400,000
0 800 263 1599 44766 37655 7111 400 137 10.0 50 5733 113.316.080,400 9.191.450,000
0 800 275 1599 45190 37655 7535 400 125 10.0 50 6140 113.825.386,000 9.673.450,000
0 800 271 1599 44789 37655 7134 400 129 10.0 50 5754 113.237.561,600 9.111.450,000
1 800 233 1599 53102 41518 11584 400 167 10.0 50 10062 126.727.668,800 13.787.100,000
1 800 233 1599 53637 41518 12119 400 167 10.0 50 10619 127.424.572,800 14.449.550,000
1 800 234 1599 52638 41518 11120 400 166 10.0 50 9628 126.152.887,200 13.242.200,000
1 800 248 1599 54031 41518 12513 400 152 10.0 50 10969 127.861.396,400 14.861.000,000
1 800 235 1599 54003 41518 12485 400 165 10.0 50 10949 127.934.343,200 14.935.750,000
2 800 206 1599 47540 41652 5888 400 194 10.0 50 4563 128.758.976,000 8.027.850,000
2 800 208 1599 49356 41652 7704 400 192 10.0 50 6351 131.690.026,400 10.841.950,000
2 800 217 1599 47790 41652 6138 400 183 10.0 50 4802 129.279.926,000 8.532.700,000
2 800 215 1599 48101 41652 6449 400 185 10.0 50 5122 129.382.404,400 8.615.150,000
2 800 202 1599 47979 41652 6327 400 198 10.0 50 5011 129.470.897,600 8.711.500,000
3 800 245 1599 33391 28188 5203 400 155 10.0 50 4048 84.146.880,400 6.611.500,000
3 800 265 1599 33153 28188 4965 400 135 10.0 50 3788 83.789.253,200 6.269.200,000
3 800 252 1599 33814 28188 5626 400 148 10.0 50 4476 84.640.171,600 7.077.550,000
3 800 250 1599 32916 28188 4728 400 150 10.0 50 3588 83.528.640,400 6.023.850,000
3 800 253 1599 33654 28188 5466 400 147 10.0 50 4310 84.507.667,600 6.955.350,000
4 800 216 1599 43576 37833 5743 400 184 10.0 50 4425 106.422.344,400 7.004.050,000
4 800 225 1599 44008 37833 6175 400 175 10.0 50 4817 107.020.915,200 7.574.800,000
4 800 216 1599 43737 37833 5904 400 184 10.0 50 4587 106.733.262,800 7.304.600,000
4 800 211 1599 43098 37833 5265 400 189 10.0 50 3973 105.853.211,200 6.465.700,000
4 800 215 1599 43320 37833 5487 400 185 10.0 50 4146 106.148.858,000 6.747.050,000
5 800 182 1599 49523 42030 7493 400 218 10.0 50 6120 121.967.431,200 9.607.600,000
5 800 190 1599 49568 42030 7538 400 210 10.0 50 6138 121.955.929,200 9.593.200,000
5 800 179 1599 50077 42030 8047 400 221 10.0 50 6647 122.640.758,800 10.245.250,000
5 800 191 1599 50441 42030 8411 400 209 10.0 50 6973 123.108.150,400 10.689.200,000
5 800 198 1599 50423 42030 8393 400 202 10.0 50 6952 123.328.641,200 10.910.850,000
6 800 198 1599 49448 40399 9049 400 202 10.0 50 7663 126.967.701,200 11.836.400,000
6 800 207 1599 49479 40399 9080 400 193 10.0 50 7708 126.870.197,600 11.736.900,000
6 800 200 1599 49146 40399 8747 400 200 10.0 50 7358 126.505.102,400 11.393.250,000
6 800 210 1599 50505 40399 10106 400 190 10.0 50 8670 128.373.072,000 13.173.700,000
6 800 219 1599 50151 40399 9752 400 181 10.0 50 8344 128.142.124,400 12.965.550,000
7 800 255 1599 44493 34581 9912 400 145 10.0 50 8580 104.864.349,200 11.924.100,000
7 800 261 1599 45642 34581 11061 400 138 10.0 50 9727 106.473.744,800 13.459.500,000
7 800 245 1599 44449 34581 9868 400 153 10.0 50 8580 104.983.265,600 12.045.850,000
7 800 255 1599 43530 34581 8949 400 145 10.0 50 7631 103.856.582,000 10.978.350,000
7 800 259 1599 44100 34581 9519 400 141 10.0 50 8183 104.261.090,000 11.346.150,000
8 800 276 1599 43566 33298 10268 400 123 10.0 50 9015 110.446.500,400 12.684.700,000
8 800 276 1599 43736 33298 10438 400 123 10.0 50 9169 110.730.348,400 12.957.600,000
8 800 272 1599 43578 33298 10280 400 128 10.0 50 9018 110.810.073,200 13.047.500,000
8 800 275 1599 43685 33298 10387 400 124 10.0 50 9114 111.128.514,000 13.359.050,000
8 800 272 1599 43809 33298 10511 400 126 10.0 50 9232 111.179.799,600 13.402.350,000
9 800 231 1599 46456 40915 5541 400 169 10.0 50 4215 122.038.016,400 6.931.450,000
9 800 225 1599 47082 40915 6167 400 175 10.0 50 4826 122.693.230,800 7.546.350,000
9 800 229 1599 46538 40915 5623 400 171 10.0 50 4297 122.067.147,200 6.955.300,000
9 800 237 1599 47420 40915 6505 400 162 10.0 50 5168 123.222.798,000 8.054.150,000
9 800 239 1599 46925 40915 6010 400 161 10.0 50 4662 122.628.520,000 7.491.750,000
